match_id,enemies_0,enemies_1,enemies_2,enemies_3,enemies_4,teammates_0,teammates_1,teammates_2,teammates_3,teammates_4,win
KR_6603166383,39,113,166,81,16,133,234,3,523,43,1
EUW1_6506574238,24,141,127,30,16,126,76,102,523,412,1
KR_6604715140,114,30,91,221,16,78,104,711,523,412,0
NA1_4720642534,516,9,157,202,16,164,60,34,523,26,0
EUW1_6513137987,266,104,126,145,16,68,121,69,523,412,0
EUW1_6510185057,68,79,950,15,16,517,76,91,523,53,1
EUW1_6512695199,58,76,18,110,16,68,59,157,523,526,0
EUW1_6511180071,2,113,105,412,21,24,64,127,523,902,1
KR_6606097790,266,76,18,81,21,897,121,26,523,412,1
KR_6606014077,39,104,55,81,22,86,421,101,523,432,1
EUW1_6511684077,114,30,91,498,22,875,120,161,523,40,1
NA1_4719700017,69,79,950,157,22,36,78,105,523,147,1
NA1_4719968244,107,104,517,51,22,62,427,1,523,902,0
NA1_4720593598,897,60,50,497,22,79,9,133,523,902,1
KR_6608008436,84,234,39,50,22,58,427,126,523,902,1
EUW1_6512288830,54,154,777,51,25,36,78,103,523,37,0
KR_6606396178,78,517,238,498,25,57,121,54,523,902,0
EUW1_6513330532,58,32,16,498,25,133,203,134,523,497,0
NA1_4719675565,427,5,777,51,25,58,120,145,523,53,0
NA1_4719744285,24,203,103,498,25,240,20,157,523,40,0
EUW1_6507579775,74,121,134,29,25,54,427,18,523,12,0
NA1_4720923106,114,234,105,145,25,24,104,55,523,412,1
NA1_4719895993,126,141,166,134,25,122,20,99,523,412,1
EUW1_6509626037,57,91,84,145,25,92,104,26,523,163,0
KR_6606613573,24,131,157,81,25,86,91,950,523,74,1
EUW1_6513228965,106,76,950,498,26,102,120,20,523,201,1
NA1_4721437115,266,11,777,63,26,897,107,127,523,526,0
EUW1_6513269391,58,120,103,81,26,80,11,157,523,350,0
KR_6606392521,266,121,142,81,26,83,59,517,523,43,1
EUW1_6509548368,58,64,517,145,26,266,9,91,523,89,1
EUW1_6513189794,141,234,84,22,26,68,77,103,523,412,0
EUW1_6509430149,41,104,18,147,26,27,77,134,523,412,1
KR_6603655814,68,33,897,81,26,887,131,157,523,412,0
NA1_4719546131,92,234,4,117,29,897,107,147,523,412,1
NA1_4722322478,240,72,234,21,29,2,35,131,523,432,1
NA1_4718098671,897,234,268,145,29,245,131,777,523,412,1
EUW1_6507177222,86,78,221,30,32,114,79,246,523,111,1
NA1_4720967983,98,7,141,222,32,266,57,91,523,412,0
NA1_4721865418,516,107,90,145,32,78,203,103,523,40,1
NA1_4721125902,875,113,55,18,32,23,2,69,523,412,1
EUW1_6511882603,92,131,246,145,32,78,72,55,523,412,0
NA1_4720840565,421,427,268,119,32,420,30,14,523,555,1
EUW1_6510569410,58,113,134,22,32,266,57,7,523,53,0
KR_6607470929,122,517,238,81,32,24,76,157,523,526,0
EUW1_6510479854,79,64,39,145,32,516,62,517,523,12,1
NA1_4719340407,68,104,897,119,35,23,30,238,523,53,1
KR_6607208358,58,76,238,81,35,98,121,3,523,497,1
KR_6608321519,58,78,3,18,35,68,64,777,523,412,1
NA1_4720854827,154,79,91,51,35,24,131,950,523,99,1
EUW1_6510951800,897,28,90,15,35,91,68,166,523,412,1
EUW1_6512016059,266,79,246,15,37,2,30,18,523,497,0
EUW1_6507249883,164,77,134,110,37,16,121,268,523,117,0
EUW1_6513559950,238,30,246,147,37,24,32,134,523,117,0
EUW1_6510275958,74,104,246,147,37,420,121,142,523,89,0
EUW1_6510393566,420,91,127,119,37,126,104,518,523,902,0
EUW1_6509583702,777,121,34,22,37,68,35,103,523,40,1
NA1_4721951907,420,254,103,81,37,154,555,25,523,147,0
EUW1_6512934618,266,77,134,22,37,68,59,136,523,235,0
EUW1_6509763946,126,121,4,498,37,141,76,112,523,555,0
EUW1_6511888299,58,57,103,81,37,164,76,950,523,117,1
NA1_4720019021,41,245,157,81,37,887,64,4,523,412,1
EUW1_6510645008,113,64,131,22,40,236,203,134,523,497,0
EUW1_6506134961,76,20,246,81,40,68,121,18,523,412,0
EUW1_6512283834,875,28,246,119,40,78,421,7,523,902,0
NA1_4719723329,92,18,1,22,40,897,141,84,523,526,1
NA1_4720501076,72,76,84,145,40,950,77,101,523,526,0
EUW1_6512693935,266,120,31,81,40,150,203,8,523,427,0
EUW1_6508792125,76,91,517,145,40,86,64,13,523,526,0
KR_6606645949,950,20,18,81,40,33,64,142,523,412,1
EUW1_6513022659,126,234,7,119,40,68,121,268,523,16,1
EUW1_6510760764,57,20,134,222,40,777,234,136,523,497,0
KR_6601036321,897,76,121,222,40,777,28,90,523,902,1
NA1_4721430349,80,72,127,498,40,79,421,8,523,111,0
NA1_4719105853,122,104,127,221,40,58,154,7,523,53,1
NA1_4720116371,92,107,711,145,40,78,11,131,523,201,0
EUW1_6508753768,516,120,145,498,40,114,91,103,523,43,1
EUW1_6511202276,106,91,163,145,40,68,200,245,523,53,1
EUW1_6513352882,14,79,18,221,40,80,30,711,523,412,0
EUW1_6510065269,98,234,517,498,40,122,427,61,523,12,0
EUW1_6509353353,36,200,103,81,40,85,254,145,523,111,1
EUW1_6513350469,85,91,236,119,40,59,950,7,523,53,0
EUW1_6507436476,98,104,103,22,40,114,113,517,523,902,0
EUW1_6512012019,166,76,950,81,40,121,163,126,523,497,1
NA1_4719796472,80,5,163,147,40,240,104,268,523,412,1
EUW1_6510459422,58,64,7,22,40,2,121,13,523,89,0
NA1_4720296603,31,30,238,360,40,8,107,268,523,43,1
EUW1_6509736397,245,203,18,145,40,102,104,103,523,412,1
EUW1_6508757655,240,30,268,22,40,58,121,61,523,432,0
EUW1_6512614297,14,104,166,29,40,54,107,238,523,37,1
EUW1_6510148364,58,76,268,145,40,98,64,103,523,526,0
NA1_4720405624,58,121,8,81,40,420,20,268,523,902,1
EUW1_6513264932,27,59,134,145,40,92,64,518,523,412,0
EUW1_6511668329,2,35,18,81,40,875,28,7,523,117,1
EUW1_6510152673,39,77,246,81,40,114,121,7,523,117,0
EUW1_6512739855,126,141,1,30,43,157,200,69,523,40,1
EUW1_6511140213,41,203,131,157,43,54,121,127,523,117,0
EUW1_6511956025,14,76,45,81,43,79,421,711,523,117,0
KR_6606394277,14,163,950,81,43,58,104,69,523,200,1
EUW1_6508240051,266,78,63,145,43,4,60,246,523,497,1
KR_6606574712,897,104,136,81,43,107,200,84,523,143,1
EUW1_6511479691,131,141,516,145,43,10,200,497,523,103,1
KR_6605147830,80,64,20,81,43,266,30,777,523,497,1
NA1_4722204793,84,5,518,81,43,166,79,887,523,117,0
EUW1_6508996600,157,131,13,145,43,85,234,18,523,117,0
EUW1_6512999211,58,200,50,222,43,68,104,39,523,412,1
EUW1_6511701478,77,154,29,81,43,950,234,134,523,412,1
NA1_4720299262,266,421,163,81,43,86,427,101,523,432,0
NA1_4720690151,266,104,99,119,43,62,121,7,523,267,1
EUW1_6512412261,266,77,85,81,43,164,64,27,523,902,1
KR_6607825366,10,64,3,81,43,68,234,897,523,497,1
NA1_4718517052,164,203,3,115,43,31,234,134,523,412,0
EUW1_6512342535,516,876,777,21,43,10,35,50,523,201,0
NA1_4718726401,266,234,105,145,555,86,20,134,523,497,1
KR_6604180323,103,64,238,145,555,39,78,126,523,111,1
NA1_4721307163,83,113,68,51,555,777,106,115,523,235,1
NA1_4721719326,266,33,55,360,555,154,35,517,523,902,1
EUW1_6508247975,68,79,39,221,555,14,35,245,523,412,0
EUW1_6509789278,897,203,103,145,555,6,56,112,523,201,0
KR_6607124545,427,11,84,69,555,114,517,91,523,16,1
KR_6604617199,48,91,154,45,555,126,104,517,523,57,1
KR_6604713363,24,14,4,145,555,887,64,127,523,201,0
NA1_4720529060,92,64,50,360,555,887,59,34,523,902,0
NA1_4721521877,10,59,39,498,555,92,427,29,523,143,0
KR_6605660622,107,113,777,22,555,58,234,112,523,526,1
KR_6606415626,23,876,7,498,555,24,154,69,523,111,0
EUW1_6513374580,266,234,69,498,555,122,76,18,523,412,1
KR_6609599548,58,234,103,145,555,23,104,127,523,497,0
KR_6606694857,33,64,518,110,555,777,104,127,523,412,1
EUW1_6507414922,777,120,126,147,555,897,427,45,523,53,1
KR_6608908766,420,35,110,69,555,98,427,39,523,497,1
KR_6603838665,54,234,61,145,555,11,78,68,523,16,0
EUW1_6511716519,92,64,145,429,555,126,131,18,523,201,1
KR_6607944910,78,30,238,145,555,58,104,517,523,902,0
NA1_4718438538,427,39,163,145,555,24,76,126,523,111,1
KR_6606027196,50,131,166,145,555,58,76,897,523,43,0
EUW1_6508720018,68,121,84,119,555,2,238,20,523,40,0
KR_6603148446,166,68,91,145,555,78,421,34,523,526,1
EUW1_6513200244,58,526,61,145,555,266,78,7,523,40,1
EUW1_6511672920,266,234,518,145,555,897,421,7,523,235,1
KR_6601608472,126,154,3,145,555,79,427,69,523,412,0
EUW1_6511969305,98,121,131,81,555,2,28,18,523,526,1
EUW1_6510653279,150,102,4,498,555,166,141,163,523,12,0
NA1_4720538373,8,2,103,119,555,420,234,13,523,412,1
EUW1_6511943113,74,62,101,498,555,14,104,134,523,526,1
EUW1_6505748464,122,30,246,145,555,266,104,84,523,16,1
KR_6607528942,107,79,421,145,555,58,76,18,523,888,1
EUW1_6513550697,2,64,103,429,555,133,234,7,523,526,0
EUW1_6510210977,24,9,246,360,555,41,59,115,523,25,0
KR_6607230108,54,200,127,145,555,24,421,84,523,412,0
KR_6609184402,8,30,950,498,555,266,64,74,523,89,1
KR_6608333028,56,104,68,145,555,24,76,39,523,111,0
EUW1_6509204983,14,91,13,30,555,266,78,518,523,235,1
